genotype,human_score_blue
PI656057,1.913088998258382
PI656058,1.7558328321333985
PI656059,2.0078677770902127
PI656060,2.1360182538226056
PI656061,2.4738579787944706
PI656062,1.301354257656224
PI656063,2.5318597180217814
PI656064,2.589366929682883
PI656065,2.262894468657065
PI656066,1.2082507500901658
PI656067,2.272120823324631
PI656068,1.0851247405395488
PI656069,1.9968174800275564
PI656070,2.423228441393748
PI656071,2.617544737321406
PI656072,1.848288212510193
PI656073,2.034670716733731
PI656074,1.4487256366906538
PI656075,1.3494218910761
PI656076,1.2458203613421714
PI656077,2.4022447155312845
PI656078,2.0723936051870178
PI656079,2.558418312096709
PI656080,2.4827931867707163
PI656081,2.5748871473698514
PI656082,3.4145688769827665
PI656083,2.167273173977729
PI656084,1.6928212555964568
PI656085,2.023678465047228
PI656086,1.6990282785535225
PI656087,3.1267999582249355
PI656088,2.780298502179363
PI656089,2.7480521118797547
PI656090,2.37629041339726
PI656091,1.7178017871252582
PI656092,2.4176706049633756
PI656093,2.602377183025702
PI656094,2.5899221520293816
PI656095,1.9201907453937488
PI656096,2.7491325818526526
PI656097,2.0361156825669564
PI656098,2.6771986828605647
PI656099,2.081633622586463
PI656100,2.089418029096456
PI656101,3.199958870093443
PI656102,2.905190151012999
PI656103,3.093496386216544
PI656104,1.5368094506597936
PI656105,2.1613570812394043
PI656106,2.2120162833784023
PI656107,2.2662529929301307
PI656108,2.574005826249714
PI656109,2.8124712739211617
PI656110,2.8023102517693745
PI656111,2.292750099166914
PI656112,2.8442525361978617
PI656113,2.9067705367245464
PI656114,1.5284509115675329
PI656115,2.9193965609772414
PI656116,3.3702533082721153
PI656117,1.2839211253524043
PI656118,1.7496973115242975
PI656119,2.483890327101544
PI656120,1.4607146216445257
PI656121,3.036152513617898
PI659691,1.917022918902422
PI659692,1.9540760463406557
PI659693,2.315846231368697
PI659694,1.2156155645852167
PI659695,1.821342768056478
PI659696,1.9414996113417904
PI659753,2.314717712000063
SC0003,2.1013713941486976
SC0027,1.9003879697708816
SC0041,1.729781182690548
SC0092,1.864554013884269
SC0138,1.7961097519324525
SC0150,2.1857614096695936
SC0156,2.3904031867183315
SC0157,2.5785720672510237
SC0159,2.620983381764498
SC0178,3.020675801124337
SC0179,2.200217471204101
SC0190,2.5143798531855484
SC0191,2.0994702052061225
SC0201,2.0431659553175527
SC0235,2.7837933270354966
SC0236,2.730626531695404
SC0247,2.1013903864923726
SC0249,2.0491104021282576
SC0263,1.8596721633859992
SC0266,2.3112664192646575
SC0276,2.3403349349742864
SC0287,2.154630108421117
SC0297,3.4979888707178137
SC0314,2.1522056751419876
SC0343,2.48588553524492
SC0371,3.019604641591262
SC0400,2.102834458646376
SC0409,2.8571659104106395
SC0412,2.4199320402530535
SC0436,1.9587302558177544
SC0438,2.5196380626524686
SC0445,2.1578531295310768
SC0448,2.313104329859216
SC0456,2.197125884573021
SC0458,1.6916614586879777
SC0463,2.611994803847737
SC0470,2.2036960826925345
SC0479,2.00097735205613
SC0505,2.2999602176813063
SC0517,2.2743426806820617
SC0521,3.131926310136148
SC0540,2.9485421669483487
SC0542,1.9921061253869776
SC0550,1.9327371531952184
SC0551,3.0709029236780134
SC0556,2.0693748714241176
SC0581,1.2793496595575176
SC0582,2.57272134094602
SC0602,1.740932673064655
SC0604,2.701188796725469
SC0615,2.836624293006225
SC0616,2.168243499296483
SC0618,1.661198136703512
SC0631,2.039882511550472
SC0636,2.591273791306209
SC0640,2.7378403432815706
SC0652,2.9140981059875664
SC0685,2.5672607692003497
SC0713,2.318231307368124
SC0741,2.6051386087238777
SC0747,2.354027064039621
SC0753,2.4003650488002988
SC0759,2.5542065118595643
