feature,mean_feature_importance,sd_feature_importance,min_feature_importance,max_feature_importance,rank
embedding_mean_166,0.00012291180598937788,3.898103254678115e-05,5.4049499819690746e-05,0.00014873481129119934,1612
embedding_mean_888,0.00012289962166021383,2.9239070410427992e-05,8.36561645412191e-05,0.00015250276330524063,1613
embedding_std_670,0.0001228782555062059,3.7041179618776605e-05,6.21771278781884e-05,0.00015578771109929428,1614
embedding_mean_808,0.00012286054152918974,3.633256254753997e-05,6.232692970994302e-05,0.0001598622019557691,1615
embedding_std_457,0.0001228428348553746,3.7882097888773416e-05,7.223154792901726e-05,0.00015305522997613363,1616
embedding_mean_250,0.0001227827875406067,4.2693015126971134e-05,5.5531870559651406e-05,0.00016445928234860976,1617
embedding_std_964,0.0001227579994663228,3.561532344933547e-05,7.001338849098439e-05,0.0001602697084226827,1618
embedding_std_879,0.00012266767597355423,3.573255291352838e-05,6.457010722477162e-05,0.00015122715943218654,1619
embedding_std_428,0.00012262393639570832,2.9356389694446876e-05,7.223647329845685e-05,0.00014325269509653943,1620
embedding_std_972,0.0001226124609584074,3.253692345030236e-05,7.052251045898595e-05,0.00015451622439174214,1621
embedding_mean_867,0.0001225846491736458,6.136296127960885e-05,5.3527510509251406e-05,0.00021745641353751,1622
embedding_std_340,0.00012258153671734513,3.430789102270173e-05,7.024742090560272e-05,0.0001590138845083839,1623
embedding_std_407,0.00012257856212181126,3.220164369212064e-05,7.04293809326016e-05,0.0001559318356244196,1624
embedding_mean_1005,0.0001225132889189329,2.1201062628932533e-05,8.770110994304052e-05,0.00014017845103075774,1625
embedding_mean_905,0.00012241096490019586,2.9270330592356756e-05,8.623511907216797e-05,0.00015341022690660834,1626
embedding_std_778,0.00012223403817559884,4.3860393267569345e-05,6.612553802931352e-05,0.00018934567349551576,1627
embedding_mean_481,0.00012219383775008454,2.8402247178897142e-05,8.222264185817432e-05,0.00015250627561782783,1628
embedding_std_333,0.00012208759938396957,3.8116886178809396e-05,8.406051344193553e-05,0.000185426355502447,1629
embedding_std_214,0.00012203298267045235,4.4603892531384256e-05,6.990020377300856e-05,0.0001922855492143246,1630
embedding_std_401,0.00012198205816432558,3.8792651931567816e-05,7.662877131076618e-05,0.00016103527590248862,1631
embedding_mean_724,0.00012192491354744172,3.0156683137800814e-05,7.293940728761042e-05,0.00015291813360908074,1632
embedding_std_523,0.00012180699425151762,2.4112276039599475e-05,0.00010016697118577173,0.00015946328733889854,1633
embedding_std_711,0.0001217955731252219,2.6067065340045308e-05,9.203885052680289e-05,0.0001487306027655328,1634
embedding_std_7,0.00012176869970800096,2.8680548741961663e-05,7.744312000906116e-05,0.00015085744415251008,1635
embedding_mean_223,0.00012173045885137668,2.4067497737989044e-05,7.972612112626599e-05,0.0001389516130041474,1636
embedding_mean_419,0.00012166669388232799,3.271836420730527e-05,9.546462619893124e-05,0.00017724528528434031,1637
embedding_mean_874,0.00012145394702944917,4.055016412908034e-05,5.7934019951821944e-05,0.00016107387772090078,1638
embedding_std_355,0.00012136992204495269,3.98887594839782e-05,5.706842044601036e-05,0.00016705281376745061,1639
embedding_std_855,0.0001212805219264161,1.2961217725648154e-05,0.00010083828716708541,0.00013153526434169603,1640
embedding_std_387,0.0001212119884638698,3.350793674549446e-05,8.82267996758805e-05,0.00016651374731033728,1641
embedding_mean_652,0.00012118663995789373,5.3789074666703975e-05,4.8940577875008894e-05,0.00019509065180505655,1642
embedding_mean_309,0.00012118645158005047,1.787184355530229e-05,0.00010208306299155066,0.00014268752621280403,1643
embedding_std_696,0.00012116998976833666,4.156965880533108e-05,5.175842622685771e-05,0.0001556122551992849,1644
embedding_mean_618,0.00012114456588864725,1.8345275154739174e-05,0.00010168595799729591,0.0001423106954252452,1645
embedding_mean_1015,0.00012107159229135812,3.13801908509687e-05,6.571864534076535e-05,0.00014174831481653986,1646
embedding_std_906,0.00012106845434740308,3.7400186597611624e-05,6.017747450792349e-05,0.000149847378816015,1647
embedding_mean_523,0.00012105062417341832,5.730743606225025e-05,4.4412968357167816e-05,0.00020489096513573815,1648
embedding_std_785,0.00012097707381680139,3.178947638280439e-05,6.48227599554397e-05,0.0001404628923729559,1649
embedding_mean_147,0.00012094516041613189,3.716163550378738e-05,6.852377363570855e-05,0.00016725905536549968,1650
embedding_mean_352,0.00012089408476132095,6.386615579958631e-05,4.576106718681891e-05,0.00022191604612508385,1651
embedding_std_561,0.00012088475627099042,2.7423264922957295e-05,7.283839197705132e-05,0.00014054722413327025,1652
embedding_std_364,0.00012082985277401542,1.7650822814350317e-05,9.446690008106515e-05,0.00013792727661768412,1653
embedding_mean_261,0.00012077607585115643,3.385727585036955e-05,7.597571141490658e-05,0.00016706225291381987,1654
embedding_mean_798,0.00012075043909820946,3.928723403188809e-05,6.25056497613636e-05,0.00015942941709773278,1655
embedding_mean_744,0.00012069406391280149,3.7850180920780566e-05,6.795374365594771e-05,0.00016822019530513552,1656
embedding_std_858,0.00012055796070078446,4.15416125756903e-05,4.739612606976398e-05,0.00015009123969202739,1657
embedding_mean_660,0.00012055623318081926,2.5417446513578144e-05,8.525998596751575e-05,0.00014219039793182992,1658
embedding_mean_224,0.00012052719330772853,2.628692951394477e-05,8.531929908233565e-05,0.00015023986364377621,1659
embedding_mean_759,0.00012052008283174685,3.916906045419609e-05,6.344067773600244e-05,0.0001740402034249007,1660
embedding_mean_675,0.00012050619074958898,1.2782470024319318e-05,0.00010876278266093344,0.0001396768121083808,1661
embedding_std_291,0.00012044907938330048,4.2083757625199946e-05,5.032997473282837e-05,0.00016058949911594057,1662
embedding_mean_519,0.00012037499748611257,3.900340337142231e-05,6.644884675169846e-05,0.00015998765605876165,1663
embedding_std_825,0.00012036829255378096,4.160639130443517e-05,5.3085553278669256e-05,0.00015984522717082887,1664
embedding_std_957,0.0001203347148263045,1.8678683346352505e-05,9.874703322238759e-05,0.0001390209357743236,1665
embedding_mean_20,0.00012032193335176677,2.194145235307433e-05,8.313458990102303e-05,0.00014061827357221874,1666
embedding_mean_723,0.00012031036653742428,2.55705346260195e-05,8.003145933452223e-05,0.0001474330801246746,1667
embedding_std_994,0.00012030303520390779,3.279419019409387e-05,7.11483888564213e-05,0.00015853606736105947,1668
embedding_mean_705,0.00012012099751644749,3.1309813968639725e-05,6.527339436448837e-05,0.00014124458789469845,1669
embedding_std_881,0.00012010817938342341,2.8604742951877312e-05,8.474323685730032e-05,0.00015443089678325055,1670
embedding_mean_95,0.00012009782692137862,2.2884683040765278e-05,8.201324902453353e-05,0.00013892518256782092,1671
embedding_std_979,0.00012006970045815635,3.194026049379559e-05,6.780164398887112e-05,0.00015498709769815985,1672
embedding_mean_996,0.00011985030958341363,2.6956279967048318e-05,8.202718583120265e-05,0.00015243772067715636,1673
embedding_mean_291,0.00011984153458408538,4.281589377959433e-05,6.698985205408674e-05,0.00016355903983999816,1674
embedding_std_188,0.00011980407560024673,4.079645633705806e-05,4.9788981719413436e-05,0.00014926554846126058,1675
embedding_std_35,0.0001198013871005984,3.3789900451486755e-05,6.488257060350589e-05,0.00015533773374765014,1676
