trait,environment,broad_sense_h2,genotype_vcov,residual_vcov,phenotypic_v_for_h2,total_vcov,mean_environments_per_genotype_harmonic,mean_plot_reps_per_genotype_environment_harmonic,mean_plot_reps_per_genotype_harmonic,genotype_x_environment_vcov,n_plot_means,n_genotypes,model,heritability_method,converged,has_warning,boundary_solution,boundary_vcov_sources,genotype_boundary,singular,h2_reliable,status,warning,error
embedding_std_239,Nebraska2025,0.27383229114697916,0.00025100263814684294,0.0011751003100218967,0.000916629069184969,0.0018743851350931286,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,False,True,True,row,False,True,False,ok,boundary (singular) fit: see help('isSingular'),
embedding_std_240,Nebraska2025,0.2890103651912937,0.0002442434329914026,0.0010607599844588277,0.0008451026759186985,0.0015997935100532496,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,False,True,True,row,False,True,False,ok,boundary (singular) fit: see help('isSingular'),
embedding_std_241,Nebraska2025,0.32632658471581827,0.00014107933772435668,0.0005141676493349942,0.0004323256036501461,0.0007736772542615586,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,True,False,False,,False,False,True,ok,,
embedding_std_242,Nebraska2025,0.2577158039009249,0.0001652833355425672,0.0008404320640923583,0.0006413395416220108,0.0013139393961448193,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,True,False,False,,False,False,True,ok,,
embedding_std_243,Nebraska2025,0.26220776862369066,0.0003101532963463385,0.0015406688666436857,0.0011828531930015286,0.002497736653727221,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,False,True,True,row,False,True,False,ok,boundary (singular) fit: see help('isSingular'),
embedding_std_244,Nebraska2025,0.20492598039133664,5.4890684824836045e-05,0.0003759703286919029,0.000267856153329188,0.0005335577255085899,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,True,False,False,,False,False,True,ok,,
embedding_std_245,Nebraska2025,0.3832084131832402,0.00023470977217309005,0.000666928013558278,0.0006124859582893813,0.0010187037737057277,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,True,False,False,,False,False,True,ok,,
embedding_std_246,Nebraska2025,0.29144364169589876,0.0003443699114952819,0.0014780509185003024,0.0011816003584480597,0.0024988567179241193,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,False,True,True,block,False,True,False,ok,boundary (singular) fit: see help('isSingular'),
embedding_std_247,Nebraska2025,0.4712857951974428,0.0010893141544978716,0.0021574173023720987,0.0023113664056891615,0.003947245554001963,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,True,False,False,,False,False,True,ok,,
embedding_std_248,Nebraska2025,0.501278702705897,0.00024584464847192617,0.0004318011574275373,0.0004904350556783271,0.0007713597339540166,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,True,False,False,,False,False,True,ok,,
embedding_std_249,Nebraska2025,0.5028124307444464,0.00044445693843597105,0.0007758688720455998,0.0008839418265334525,0.0013380437914801407,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,False,True,True,"block,row",False,True,False,ok,boundary (singular) fit: see help('isSingular'),
embedding_std_250,Nebraska2025,0.1474720646569306,5.134399323334201e-05,0.0005240019253235791,0.0003481608083048496,0.0007091889871931412,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,True,False,False,,False,False,True,ok,,
embedding_std_251,Nebraska2025,0.31875257812407193,0.0001546313566502001,0.0005834358532427423,0.000485114057932454,0.0008051269030590706,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,True,False,True,"block,row",False,False,True,ok,,
embedding_std_252,Nebraska2025,0.4020488249901062,0.00031344880558895695,0.0008229963853028193,0.0007796287070274871,0.0014257430981266723,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,False,True,True,"block,row",False,True,False,ok,boundary (singular) fit: see help('isSingular'),
