genotype,dry,fresh,water_frac,peak_dose
PI576352,-0.5085517866968565,-0.7722872838615531,-1.2613906258377618,0.0
PI576359,-0.3455816777264556,-0.4314271453225025,-0.2081176511785445,2.0
PI576364,-0.1603931550356621,-0.51347726683925,-1.1445619283274495,0.0
PI576366,-1.064036554155232,-1.0881783598034886,-0.5116257366733842,0.0
PI576373,-0.4727084605047942,-0.6408912375285282,-0.8068887404243987,0.0
PI576375,0.3855891241385625,0.3593959459622711,0.2911430147458993,0.0
PI576376,-0.2134267844928742,-0.0313686301305864,0.780482571407148,0.0
PI576380,0.1120518207885716,0.1544511988543979,0.400262861195155,0.0
PI576381,-0.1000634601583825,-0.2736421742387873,-0.6770195550866736,0.0
PI576385,-0.2467917333250697,-0.5225138969301315,-1.081173403776854,0.0
PI576386,0.3705535761462552,0.636273480388891,0.9567660440358136,0.0
PI576387,-0.0449838366845979,0.2016982563871703,0.8342883740897796,0.0
PI576390,-0.9083711918086064,-0.9263144526401624,-0.4445645525295063,0.0
PI576391,0.0867546280893464,0.0327829103194077,-0.0841552052979275,0.0
PI576393,-0.8265462651692181,-0.9128776077806272,-0.7612796185718765,0.0
PI576396,-0.9260254681824558,-0.8629360543028769,-0.0080499690352279,0.0
PI576399,-0.6596260308485767,-0.8532599818636737,-1.144734949189271,0.0
PI576401,1.7063017126177225,1.7039620502809067,0.4545050147734931,0.0
PI576418,-0.3975183976091844,-0.5747077321076621,-0.6479561495687153,0.0
PI576422,-0.1532934156584347,-0.0364118491622318,0.4923166121667969,0.0
PI576425,1.230383084012483,1.194028898450615,0.4867975757015406,0.0
PI576426,1.4481919498084026,1.5408466373826435,0.7856596937212241,0.0
PI576428,0.6773602340313075,0.5974981615478298,0.2578093543524666,0.0
PI576434,-0.0086685772982528,-0.2476139814777462,-0.6325427104986626,0.0
PI576435,-0.6536613971096981,-0.6270728616122416,0.046097532611028,0.0
PI576437,-0.4794239513001258,-0.4309361237131732,0.2286152302434861,0.0
PI585291,0.9271982779169406,0.9925724171176477,0.5551565211543457,0.0
PI585295,0.8434974235735817,0.8659016142613195,0.510913939046462,0.0
PI595699,0.1343467654866562,-0.2321250597717046,-1.3818976145278647,2.0
PI595702,-1.0407127926440811,-0.9891600827899338,-0.1851229794463556,0.0
PI595714,0.3193828541280127,0.3518983009673464,0.4093546388123277,0.0
PI595718,-0.7666502995781832,-0.9796226388231246,-1.6376964950279842,0.0
PI595720,-0.8510919759871638,-0.8960393842796853,-0.5278340378040274,0.0
PI595739,-0.153382862763657,-0.3041033189965722,-0.8475079071805516,0.0
PI595740,0.525505722100448,0.1816352914927621,-0.8338414307198959,0.0
PI595741,-0.866782613176338,-0.615848314035236,0.5508694548038842,0.0
PI595743,0.6760841178339669,0.4978213115280576,-0.2059034585450914,0.0
PI595744,-0.1950518948850266,-0.175590758920705,0.263518795365413,0.0
PI595745,-0.1913976123861701,-0.3111962313052165,-0.4495220454747303,0.0
PI597945,-0.7847583752199395,-0.6217138030830478,0.2480850786163339,0.0
PI597946,-0.3608961921375963,-0.7490763628069156,-1.910632832415144,0.0
PI597949,-0.1696158785137015,-0.2205487236432153,-0.0948864320319483,0.0
PI597950,-0.9058345484032122,-1.014309062196463,-1.4730045235246134,0.0
PI597951,-1.0589307324976256,-1.0404802438273726,-0.5415390124839767,0.0
PI597952,0.137801736668503,-0.179933553740789,-0.7306467755601991,0.0
PI597958,-0.7224228184452391,-0.5408598611343461,0.6407189197442222,0.0
PI597960,-0.667277315965247,-0.8836715972457394,-1.5099135367354843,0.0
PI597961,-0.2938615621431717,-0.5290525975128915,-0.8204231124200121,0.0
PI597964,0.7909084609181944,1.074209308138554,1.0307428716546891,0.0
PI597965,-0.252023497239737,-0.5425278460517292,-1.150020063882247,0.0
PI597966,-0.2163606273201844,-0.5718046764316411,-1.2909501426584489,0.0
PI597967,1.4503747967292984,1.0133108956336248,-0.2060479160595551,0.0
PI597968,-0.1462241283786047,-0.4753392863524321,-1.025690016313377,0.0
PI597971,0.4358514839462036,0.4829752302171252,0.3766656273677031,0.0
PI597972,-0.0208255254409963,-0.1683133812729601,-0.1850445139251723,0.0
PI597973,0.0226310286538323,-0.131317832894101,-0.2010223632075068,0.0
