environment,genotype,embedding_mean_30,embedding_std_897
Nebraska2025,PI533835,-0.01518607238316668,0.8371079552838844
Nebraska2025,PI533836,-0.12241779782568664,0.8299740259554773
Nebraska2025,PI533837,-0.2386229546902876,0.82759278849357365
Nebraska2025,PI533838,-0.1346719542200678,0.8155443877282417
Nebraska2025,PI533839,-0.19493600953442408,0.8414813850957306
Nebraska2025,PI533840,-0.09630369774327448,0.87362170445693
Nebraska2025,PI533841,-0.13364630044233508,0.8481238083649916
Nebraska2025,PI533842,-0.1712186092224855,0.8313944669373783
Nebraska2025,PI533843,-0.20378309984658757,0.8187542356004922
Nebraska2025,PI533844,-0.24399979764365376,0.8500591004988591
Nebraska2025,PI533845,-0.25774985349122004,0.8161612289005766
Nebraska2025,PI533846,-0.15423531164870877,0.8412483447061176
Nebraska2025,PI533847,-0.16091625119054068,0.8292577279864763
Nebraska2025,PI533848,-0.19320373866255733,0.8660125051811536
Nebraska2025,PI533849,-0.12916404817636223,0.8526260920179339
Nebraska2025,PI533850,-0.13029332596582005,0.8688573718987881
Nebraska2025,PI533851,-0.1809513286221496,0.8522606715888345
Nebraska2025,PI533852,-0.2467265061524474,0.8523016743728172
Nebraska2025,PI533853,-0.217117729616988,0.8132607943049188
Nebraska2025,PI533854,-0.18859022466896075,0.8539233862577542
Nebraska2025,PI533855,-0.13512480152205367,0.869916080302074
Nebraska2025,PI533856,-0.06008006013472714,0.8816605246165914
Nebraska2025,PI533857,-0.18108949226977375,0.811058041515503
Nebraska2025,PI533858,-0.18003094083085933,0.8225266814098355
Nebraska2025,PI533859,-0.11798224762433704,0.8584303629259565
Nebraska2025,PI533860,-0.05637887273689945,0.8772625431188636
Nebraska2025,PI533861,-0.22226929872303916,0.8129461681275202
Nebraska2025,PI533862,-0.0422308092765889,0.8698416805508699
Nebraska2025,PI533863,-0.17391829949968748,0.8408546961694414
Nebraska2025,PI533864,-0.07429985614063538,0.8687558231412871
Nebraska2025,PI533865,-0.2074891109095602,0.8284289163229507
Nebraska2025,PI533866,-0.1793370558063714,0.8147581526142121
Nebraska2025,PI533867,-0.21661528819681383,0.8530129260877726
Nebraska2025,PI533869,-0.1226583450477616,0.8286007528929671
Nebraska2025,PI533870,-0.14093009949087174,0.8512328443572655
Nebraska2025,PI533871,-0.08442700052252433,0.8745544597157826
Nebraska2025,PI533872,-0.1404669784975982,0.8458418995500507
Nebraska2025,PI533873,-0.1858736882251674,0.8388828583254017
Nebraska2025,PI533874,-0.1220895686761088,0.8492646112400659
Nebraska2025,PI533876,-0.1405463541297928,0.8502580888221679
Nebraska2025,PI533877,-0.07439021183447882,0.8659262188535698
Nebraska2025,PI533878,-0.17444674804802282,0.8726064685869067
Nebraska2025,PI533879,-0.2298308717543488,0.8878157073198133
Nebraska2025,PI533880,-0.18707451891845667,0.8474168094051707
Nebraska2025,PI533881,-0.16652971788724985,0.8384278271566044
Nebraska2025,PI533882,-0.23637924242379704,0.8236392715992565
Nebraska2025,PI533883,-0.03647039063109753,0.8607646247288866
Nebraska2025,PI533884,-0.03713086785159422,0.8806786395343523
Nebraska2025,PI533885,-0.07447256300136634,0.8606890435396037
Nebraska2025,PI533886,-0.11355766697047529,0.8625214178169827
Nebraska2025,PI533888,-0.09388614046993889,0.8449901184001081
Nebraska2025,PI533889,-0.08251662439374542,0.8392808822859363
Nebraska2025,PI533890,-0.12483955973986294,0.8259331566346132
Nebraska2025,PI533891,-0.09065281830576843,0.8892030406999252
Nebraska2025,PI533893,-0.01676060314644542,0.8740214030142704
Nebraska2025,PI533894,-0.00554533749668442,0.8617525253182664
Nebraska2025,PI533895,-0.09168497253412548,0.8717140056347582
Nebraska2025,PI533896,-0.05832640031839273,0.86989609566151
