image_id,image_path,environment,plotNumber,genotype,estimated_leaf_area,log_estimated_leaf_area,sam3_n_crops,leaf_area_segmentation_method,leaf_area_status
10211_LeafPhotoA_2025-10-21 16_19_36.527,data/externalsourcerequired/aamu2025/block1/10211_LeafPhotoA_2025-10-21 16_19_36.527-05_00.jpg,Alabama2025,10211,PI534046,1154831,13.959464570885844,4,CV2,ok
10211_LeafPhotoA_2025-10-21 16_19_56.936,data/externalsourcerequired/aamu2025/block1/10211_LeafPhotoA_2025-10-21 16_19_56.936-05_00.jpg,Alabama2025,10211,PI534046,1165208,13.968410169817963,4,CV2,ok
10211_LeafPhotoA_2025-10-21 16_20_11.562,data/externalsourcerequired/aamu2025/block1/10211_LeafPhotoA_2025-10-21 16_20_11.562-05_00.jpg,Alabama2025,10211,PI534046,1041013,13.855704835511446,4,CV2,ok
10212_LeafPhotoA_2025-10-21 16_20_33.375,data/externalsourcerequired/aamu2025/block1/10212_LeafPhotoA_2025-10-21 16_20_33.375-05_00.jpg,Alabama2025,10212,PI533957,2715287,14.814408214787308,4,CV2,ok
10212_LeafPhotoA_2025-10-21 16_20_47.210,data/externalsourcerequired/aamu2025/block1/10212_LeafPhotoA_2025-10-21 16_20_47.210-05_00.jpg,Alabama2025,10212,PI533957,1930438,14.473257478138581,4,CV2,ok
10212_LeafPhotoA_2025-10-21 16_21_02.162,data/externalsourcerequired/aamu2025/block1/10212_LeafPhotoA_2025-10-21 16_21_02.162-05_00.jpg,Alabama2025,10212,PI533957,2134675,14.573824968233131,4,CV2,ok
10213_LeafPhotoA_2025-10-21 16_21_51.100,data/externalsourcerequired/aamu2025/block1/10213_LeafPhotoA_2025-10-21 16_21_51.100-05_00.jpg,Alabama2025,10213,PI534123,1389253,14.144276750578381,4,CV2,ok
10213_LeafPhotoA_2025-10-21 16_22_15.036,data/externalsourcerequired/aamu2025/block1/10213_LeafPhotoA_2025-10-21 16_22_15.036-05_00.jpg,Alabama2025,10213,PI534123,1187117,13.987038236552346,4,CV2,ok
10213_LeafPhotoA_2025-10-21 16_22_31.934,data/externalsourcerequired/aamu2025/block1/10213_LeafPhotoA_2025-10-21 16_22_31.934-05_00.jpg,Alabama2025,10213,PI534123,1006641,13.822129603669154,4,CV2,ok
10214_LeafPhotoA_2025-10-21 16_23_00.437,data/externalsourcerequired/aamu2025/block1/10214_LeafPhotoA_2025-10-21 16_23_00.437-05_00.jpg,Alabama2025,10214,PI597950,1321500,14.09427801302648,0,CV2,failed_cropping
10214_LeafPhotoA_2025-10-21 16_23_11.599,data/externalsourcerequired/aamu2025/block1/10214_LeafPhotoA_2025-10-21 16_23_11.599-05_00.jpg,Alabama2025,10214,PI597950,1249956,14.038618908658949,1,CV2,ok
