image_path,image_id,plotNumber,environment,ExG_P20_disease_pct
1036_LeafPhotoA_2025-09-08 10_14_00.627-05_00_leaf.png,1036_LeafPhotoA_2025-09-08 10_14_00.627-05_00,1036,Nebraska2025,0.71
1037_LeafPhotoA_2025-09-08 10_14_34.857-05_00_leaf.png,1037_LeafPhotoA_2025-09-08 10_14_34.857-05_00,1037,Nebraska2025,1.12
1037_LeafPhotoA_2025-09-08 10_14_49.421-05_00_leaf.png,1037_LeafPhotoA_2025-09-08 10_14_49.421-05_00,1037,Nebraska2025,1.2
1037_LeafPhotoA_2025-09-08 10_15_09.536-05_00_leaf.png,1037_LeafPhotoA_2025-09-08 10_15_09.536-05_00,1037,Nebraska2025,3.21
1038_LeafPhotoA_2025-09-08 10_15_32.315-05_00_leaf.png,1038_LeafPhotoA_2025-09-08 10_15_32.315-05_00,1038,Nebraska2025,0.48
1038_LeafPhotoA_2025-09-08 10_15_50.926-05_00_leaf.png,1038_LeafPhotoA_2025-09-08 10_15_50.926-05_00,1038,Nebraska2025,0.46
1038_LeafPhotoA_2025-09-08 10_16_04.977-05_00_leaf.png,1038_LeafPhotoA_2025-09-08 10_16_04.977-05_00,1038,Nebraska2025,0.17
1039_LeafPhotoA_2025-09-08 10_16_33.293-05_00_leaf.png,1039_LeafPhotoA_2025-09-08 10_16_33.293-05_00,1039,Nebraska2025,1.87
1039_LeafPhotoA_2025-09-08 10_17_00.651-05_00_leaf.png,1039_LeafPhotoA_2025-09-08 10_17_00.651-05_00,1039,Nebraska2025,0.15
1039_LeafPhotoA_2025-09-08 10_17_11.743-05_00_leaf.png,1039_LeafPhotoA_2025-09-08 10_17_11.743-05_00,1039,Nebraska2025,0.02
1040_LeafPhotoA_2025-09-08 10_17_57.190-05_00_leaf.png,1040_LeafPhotoA_2025-09-08 10_17_57.190-05_00,1040,Nebraska2025,0.01
1040_LeafPhotoA_2025-09-08 10_18_12.445-05_00_leaf.png,1040_LeafPhotoA_2025-09-08 10_18_12.445-05_00,1040,Nebraska2025,0.04
1040_LeafPhotoA_2025-09-08 10_18_43.741-05_00_leaf.png,1040_LeafPhotoA_2025-09-08 10_18_43.741-05_00,1040,Nebraska2025,0.04
1041_LeafPhotoA_2025-09-08 10_19_07.539-05_00_leaf.png,1041_LeafPhotoA_2025-09-08 10_19_07.539-05_00,1041,Nebraska2025,0.63
1041_LeafPhotoA_2025-09-08 10_19_21.222-05_00_leaf.png,1041_LeafPhotoA_2025-09-08 10_19_21.222-05_00,1041,Nebraska2025,0.17
1041_LeafPhotoA_2025-09-08 10_19_35.997-05_00_leaf.png,1041_LeafPhotoA_2025-09-08 10_19_35.997-05_00,1041,Nebraska2025,0.15
1042_LeafPhotoA_2025-09-08 10_20_35.599-05_00_leaf.png,1042_LeafPhotoA_2025-09-08 10_20_35.599-05_00,1042,Nebraska2025,0.01
1042_LeafPhotoA_2025-09-08 10_20_51.175-05_00_leaf.png,1042_LeafPhotoA_2025-09-08 10_20_51.175-05_00,1042,Nebraska2025,0.0
1042_LeafPhotoA_2025-09-08 10_21_06.936-05_00_leaf.png,1042_LeafPhotoA_2025-09-08 10_21_06.936-05_00,1042,Nebraska2025,0.0
1043_LeafPhotoA_2025-09-08 10_21_32.723-05_00_leaf.png,1043_LeafPhotoA_2025-09-08 10_21_32.723-05_00,1043,Nebraska2025,0.49
1043_LeafPhotoA_2025-09-08 10_21_46.526-05_00_leaf.png,1043_LeafPhotoA_2025-09-08 10_21_46.526-05_00,1043,Nebraska2025,0.58
1043_LeafPhotoA_2025-09-08 10_21_59.227-05_00_leaf.png,1043_LeafPhotoA_2025-09-08 10_21_59.227-05_00,1043,Nebraska2025,10.91
1044_LeafPhotoA_2025-09-08 10_22_48.871-05_00_leaf.png,1044_LeafPhotoA_2025-09-08 10_22_48.871-05_00,1044,Nebraska2025,3.78
1044_LeafPhotoA_2025-09-08 10_23_04.014-05_00_leaf.png,1044_LeafPhotoA_2025-09-08 10_23_04.014-05_00,1044,Nebraska2025,3.48
