genotype,mask_pixels_blue,days_to_flower_blue
PI533908,4060267.7567133238,70.01509119646431
PI533909,3292365.250470777,59.60773567295429
PI533910,3787578.9453468663,59.791923561799166
PI533911,4319687.375308122,56.93183789372768
PI533912,3013876.192090285,47.52453843953842
PI533913,3308060.4795003864,59.00524204573134
PI533914,3502189.033620033,61.38979576447075
PI533915,3803129.828733758,56.61716205633626
PI533916,2565489.5020002336,62.69450500176458
PI533917,2336100.554628013,57.66776440356931
PI533918,4757593.873379318,59.59864548284467
PI533919,3934673.7153123408,66.37896299896725
PI533920,3965725.534217702,69.5356513289935
PI533921,3213597.8280198304,59.127734958064
PI533922,4519079.900518543,69.32033040589174
PI533923,3052709.7613044977,54.16924711518736
PI533924,3836935.7303568763,67.4410044133339
PI533925,4138890.1237532664,69.47395635248124
PI533926,2652336.420680208,48.813436433812896
PI533928,3679920.3391191955,64.42221773148452
PI533929,3830784.0390224047,58.9432769608613
PI533930,4850724.844799313,57.9233540052482
PI533931,2962180.8096583197,59.42449027901189
PI533932,4849611.824666901,66.7104128344564
PI533933,4018605.984643023,66.9734263803477
PI533934,4299456.874361467,66.58405745819573
PI533935,3882368.38421538,58.21897305243247
PI533936,3453908.9936753195,63.4545633690017
PI533937,3981547.6625090865,55.88131187599127
PI533938,4086979.64949683,62.579588692637536
PI533939,3131619.4687740775,
PI533940,3401041.07823818,59.92850540193318
PI533941,3364108.383728258,55.337298182850624
PI533942,3359898.095173262,65.3613125908816
PI533943,3093550.044514007,68.22866954417222
PI533944,3512664.198791403,62.36866020559736
PI533946,3177394.591152838,66.61523594666323
PI533947,3727554.3880615947,71.32320925504926
PI533948,3513982.423428649,60.23041211956608
PI533949,4087065.676386925,55.96032106731682
PI533950,2714561.223637507,54.66208303475078
PI533951,4935732.945054437,54.083527486062174
PI533952,3940591.896797973,61.13159742199202
PI533953,3341914.5668185055,56.66784073306591
PI533954,3383861.9875594433,54.33222311566228
PI533955,3426050.78913051,55.73181850168756
PI533956,3638193.002000233,63.23427458349413
PI533957,3282422.3270054944,58.997288129385474
PI533958,4063909.7664043973,70.22465442125097
PI533959,4556982.773148062,56.96941125742645
PI533960,3552930.042714459,59.6675045397935
PI533961,2661241.603960921,
PI533962,3155524.0321247363,65.8595700154877
PI533963,3747537.0055548004,58.83510196481985
PI533964,3545654.751261024,67.51948363252588
PI533965,3641061.0382598722,60.99221306219711
PI533966,3777001.3191134264,68.39653707755633
PI533967,4237502.285789086,59.109478248348175
PI533968,3336906.200394924,52.26457666197373
PI533969,3991732.7280920926,68.38168918913249
PI533970,4354998.732963074,58.537816671738334
PI533971,3709694.2575198077,56.87100908262136
PI533972,3822970.174889941,69.41986885446052
PI533973,4556660.712193298,64.90403735126532
PI533974,3822804.333350901,66.47690603422315
PI533975,3523286.4511409076,53.738366035912
PI533976,4386775.5681000035,66.25192499157981
PI533977,4160549.3901121262,66.96380621810454
PI533978,3103064.077008652,54.39206831199811
PI533979,3052454.7369267317,59.19617124766183
PI533980,4471902.475797566,68.6620067052542
PI533981,3636124.7623862857,62.53807653551426
PI533982,4042741.961182122,67.69564127552829
PI533983,4024560.087919099,67.31184651741226
PI533984,3731046.9753081216,62.90570359716255
PI533985,3833931.7710442357,60.79525605359368
PI533986,3188537.59367532,58.3852506694159
PI533987,3164700.458357546,52.52008993415605
PI533988,3581244.515506736,56.34078333363834
PI533989,4193174.8370397245,63.2378415606906
PI533990,4048655.140776866,56.10144800250561
PI533991,3631717.7425314104,66.88578064154945
PI533992,3660717.67823818,68.43645931827908
